time	valores	x	y	optional
16	25	-7.95361111	-38.29472221	TRUE
17	25	-7.95361111	-38.29472221	TRUE
18	22	-7.95361111	-38.29472221	TRUE
19	21	-7.95361111	-38.29472221	TRUE
20	20	-7.95361111	-38.29472221	TRUE
21	21	-7.95361111	-38.29472221	TRUE
22	23	-7.95361111	-38.29472221	TRUE
23	25	-7.95361111	-38.29472221	TRUE
24	31	-7.95361111	-38.29472221	TRUE
1	53	-4.26388888	-41.77805554	TRUE
2	59	-4.26388888	-41.77805554	TRUE
3	64	-4.26388888	-41.77805554	TRUE
4	69	-4.26388888	-41.77805554	TRUE
5	72	-4.26388888	-41.77805554	TRUE
6	72	-4.26388888	-41.77805554	TRUE
7	78	-4.26388888	-41.77805554	TRUE
8	79	-4.26388888	-41.77805554	TRUE
9	82	-4.26388888	-41.77805554	TRUE
10	81	-4.26388888	-41.77805554	TRUE
11	70	-4.26388888	-41.77805554	TRUE
12	51	-4.26388888	-41.77805554	TRUE
13	41	-4.26388888	-41.77805554	TRUE
14	34	-4.26388888	-41.77805554	TRUE
15	30	-4.26388888	-41.77805554	TRUE
16	27	-4.26388888	-41.77805554	TRUE
17	24	-4.26388888	-41.77805554	TRUE
18	20	-4.26388888	-41.77805554	TRUE
19	19	-4.26388888	-41.77805554	TRUE
20	18	-4.26388888	-41.77805554	TRUE
21	18	-4.26388888	-41.77805554	TRUE
22	20	-4.26388888	-41.77805554	TRUE
23	22	-4.26388888	-41.77805554	TRUE
24	24	-4.26388888	-41.77805554	TRUE
1	26	-8.11777777	-42.00888888	TRUE
2	27	-8.11777777	-42.00888888	TRUE
3	28	-8.11777777	-42.00888888	TRUE
4	30	-8.11777777	-42.00888888	TRUE
5	31	-8.11777777	-42.00888888	TRUE
6	35	-8.11777777	-42.00888888	TRUE
7	37	-8.11777777	-42.00888888	TRUE
8	40	-8.11777777	-42.00888888	TRUE
9	42	-8.11777777	-42.00888888	TRUE
10	49	-8.11777777	-42.00888888	TRUE
11	50	-8.11777777	-42.00888888	TRUE
12	45	-8.11777777	-42.00888888	TRUE
13	39	-8.11777777	-42.00888888	TRUE
14	34	-8.11777777	-42.00888888	TRUE
15	29	-8.11777777	-42.00888888	TRUE
16	25	-8.11777777	-42.00888888	TRUE
17	22	-8.11777777	-42.00888888	TRUE
18	19	-8.11777777	-42.00888888	TRUE
19	17	-8.11777777	-42.00888888	TRUE
20	15	-8.11777777	-42.00888888	TRUE
21	17	-8.11777777	-42.00888888	TRUE
22	19	-8.11777777	-42.00888888	TRUE
23	22	-8.11777777	-42.00888888	TRUE
24	25	-8.11777777	-42.00888888	TRUE
1	-9999	-5.55555555	-47.45972222	TRUE
2	-9999	-5.55555555	-47.45972222	TRUE
3	-9999	-5.55555555	-47.45972222	TRUE
4	-9999	-5.55555555	-47.45972222	TRUE
5	-9999	-5.55555555	-47.45972222	TRUE
6	-9999	-5.55555555	-47.45972222	TRUE
7	-9999	-5.55555555	-47.45972222	TRUE
8	-9999	-5.55555555	-47.45972222	TRUE
9	-9999	-5.55555555	-47.45972222	TRUE
10	-9999	-5.55555555	-47.45972222	TRUE
11	-9999	-5.55555555	-47.45972222	TRUE
12	-9999	-5.55555555	-47.45972222	TRUE
13	67	-5.55555555	-47.45972222	TRUE
14	64	-5.55555555	-47.45972222	TRUE
15	54	-5.55555555	-47.45972222	TRUE
16	53	-5.55555555	-47.45972222	TRUE
17	50	-5.55555555	-47.45972222	TRUE
18	48	-5.55555555	-47.45972222	TRUE
19	45	-5.55555555	-47.45972222	TRUE
20	40	-5.55555555	-47.45972222	TRUE
21	-9999	-5.55555555	-47.45972222	TRUE
22	-9999	-5.55555555	-47.45972222	TRUE
23	-9999	-5.55555555	-47.45972222	TRUE
24	-9999	-5.55555555	-47.45972222	TRUE
